card_name,cardColorList,Text,text_corpus,book,chapter
Minas Tirith,C,"“I would see the White Tree in flower again in the courts of the kings, and Minas Tirith in peace.”
—Faramir",i would see the white tree in flower again in the courts of the kings and minas tirith in peace ,tt,tt16
Mines of Moria,C,"“Moria! Moria! Wonder of the Northern world!”
—Glóin",moria moria wonder of the northern world ,fs,fs18
Rivendell,C,"“Were I to go where my heart dwells, I would now be wandering in the fair valley of Rivendell.”
—Aragorn",were i to go where my heart dwells i would now be wandering in the fair valley of rivendell ,rk,rk2
The Shire,C,"“You must start somewhere and have some roots, and the soil of the Shire is deep.”
—Merry",you must start somewhere and have some roots and the soil of the shire is deep ,rk,rk8
Shire Terrace,C,"Everything looked fresh, and the new green of Spring was shimmering in the fields.",everything looked fresh and the new green of spring was shimmering in the fields,fs,fs6
Elvish Mariner,U,"In the days of the Kings, most of the High Elves dwelt with Círdan or in the seaward lands of Lindon.",in the days of the kings most of the high elves dwelt with círdan or in the seaward lands of lindon,,
"Aragorn and Arwen, Wed",M,"Aragorn the King Elessar wedded Arwen Undómiel, and the tale of their long waiting and labors came to fulfillment.",aragorn the king elessar wedded arwen undómiel and the tale of their long waiting and labors came to fulfillment,rk,rk15
"Frodo, Determined Hero",W,Frodo’s heart flamed within him. He drew his sword and advanced.,frodo’s heart flamed within him he drew his sword and advanced,tt,tt20
"Gandalf, White Rider",W,"He has passed through the fire and the abyss, and the enemy shall fear him.",he has passed through the fire and the abyss and the enemy shall fear him,tt,tt5
Knight of the Keep,W,"Now the cries of clear strong voices came ringing over the fields. They rode in: a long line of mail-clad Men, swift, shining, fell and fair to look upon. Suddenly they swept up with a noise like thunder, and the foremost horseman swerved.",now the cries of clear strong voices came ringing over the fields they rode in a long line of mailclad men swift shining fell and fair to look upon suddenly they swept up with a noise like thunder and the foremost horseman swerved,tt,tt2
"Witch-king, Bringer of Ruin",B,“No living man may hinder me!”,no living man may hinder me,rk,rk6
Goblin Assailant,R,"The fighting waxed furious on the fields of the Pelennor; and the din of arms rose upon high, with the crying of Men and the neighing of horses. But the hosts of Mordor were enheartened, and filled with a new fury they came yelling to the onset.",the fighting waxed furious on the fields of the pelennor and the din of arms rose upon high with the crying of men and the neighing of horses but the hosts of mordor were enheartened and filled with a new fury they came yelling to the onset,rk,rk6
"The Balrog, Flame of Udûn",M,"An evil of the Ancient World, both a shadow and a flame.",an evil of the ancient world both a shadow and a flame,fs,fs23
Trailblazer's Boots,C,"“Not idly do the leaves of Lórien fall.”
—Aragorn",not idly do the leaves of lórien fall ,tt,tt2
Banish from Edoras,W,Wormtongue bared his teeth; and then with a hissing breath he spat before the king’s feet.,wormtongue bared his teeth and then with a hissing breath he spat before the king’s feet,tt,tt6
The Battle of Bywater,W,The Tooks marched in with Pippin at their head. Merry now had enough sturdy Hobbitry to deal with the ruffians.,the tooks marched in with pippin at their head merry now had enough sturdy hobbitry to deal with the ruffians,rk,rk18
"Landroval, Horizon Witness",W,"He passed over Udûn and Gorgoroth and saw all the land in ruin and tumult beneath him, and before him Mount Doom blazing, pouring out its fire.",he passed over udûn and gorgoroth and saw all the land in ruin and tumult beneath him and before him mount doom blazing pouring out its fire,rk,rk14
Nimble Hobbit,W,"The ruffian knew too little of Hobbits to understand his peril. Foolishly, he decided to fight.",the ruffian knew too little of hobbits to understand his peril foolishly he decided to fight,rk,rk18
Protector of Gondor,W,"Orcs were digging deep trenches in a huge ring, just out of bowshot of the walls, while the Men of Minas Tirith looked on, unable to hinder them.",orcs were digging deep trenches in a huge ring just out of bowshot of the walls while the men of minas tirith looked on unable to hinder them,,rk4
Reprieve,W,"As Faramir and Éowyn stood so, their hands met and clasped, though they did not know it.",as faramir and éowyn stood so their hands met and clasped though they did not know it,rk,rk15
Shire Shirriff,W,"“You’re arrested for Gate-breaking, and Tearing up of Rules, and Trespassing, and Bribing Guards with Food.”",you’re arrested for gatebreaking and tearing up of rules and trespassing and bribing guards with food,rk,rk18
Slip On the Ring,W,How had it come to be on his finger? He wondered if the Ring itself had not played him a trick.,how had it come to be on his finger he wondered if the ring itself had not played him a trick,fs,fs13
Took Reaper,W,"The Tooks came, a hundred strong, from Tuckborough and the Green Hills.",the tooks came a hundred strong from tuckborough and the green hills,rk,rk18
Westfold Rider,W,"“The Orcs were greater in number than we counted on. Great Orcs, who also bore the White Hand of Isengard.”
—Éomer",the orcs were greater in number than we counted on great orcs who also bore the white hand of isengard ,,tt2
Birthday Escape,U,"As Bilbo finished his speech, he slipped the ring on his finger, and he was never seen by any Hobbit in Hobbiton again.",as bilbo finished his speech he slipped the ring on his finger and he was never seen by any hobbit in hobbiton again,fs,fs5
Glorious Gale,U,"The Elves of Lórien took Dol Guldur. Galadriel threw down its walls and laid bare its pits, and the forest was cleansed.",the elves of lórien took dol guldur galadriel threw down its walls and laid bare its pits and the forest was cleansed,,
Isolation at Orthanc,U,"“They took me and set me on the pinnacle of Orthanc. I stood alone on an island in the clouds; I had no chance of escape, and my days were bitter and cold.”
—Gandalf",they took me and set me on the pinnacle of orthanc i stood alone on an island in the clouds i had no chance of escape and my days were bitter and cold ,,fs18
Ithilien Kingfisher,U,"After their reunion, the Hobbits spent many days in Ithilien. The stream that flowed from the falls of Henneth Annûn could be heard in the night as it rushed down through its rocky gate.",after their reunion the hobbits spent many days in ithilien the stream that flowed from the falls of henneth annûn could be heard in the night as it rushed down through its rocky gate,rk,rk14
"Meneldor, Swift Savior",U,"“Then come! We have need of speed greater than any wind, outmatching the wings of the Nazgûl.”
—Gandalf",then come we have need of speed greater than any wind outmatching the wings of the nazgûl ,,rk14
Press the Enemy,U,“I showed the blade reforged to him. He is not so mighty yet that he is above fear.”,i showed the blade reforged to him he is not so mighty yet that he is above fear,rk,rk2
Saruman the White,U,“Sauron’s victory is at hand; and there will be rich reward for those who aided it.”,sauron’s victory is at hand and there will be rich reward for those who aided it,,fs18
Soothing of Sméagol,U,"Frodo’s heart sank. This was too much like trickery, and certainly what he did would seem a treachery to the poor treacherous creature.",frodo’s heart sank this was too much like trickery and certainly what he did would seem a treachery to the poor treacherous creature,tt,tt17
Stern Scolding,U,"“Fool of a Took! This is a serious journey, not a Hobbit walking-party. Throw yourself in next time, and then you will be no further nuisance. Now be quiet!”",fool of a took this is a serious journey not a hobbit walkingparty throw yourself in next time and then you will be no further nuisance now be quiet,fs,fs20
Storm of Saruman,U,"Isengard had once been filled with fruitful trees, but no green thing grew there in the latter days of Saruman.",isengard had once been filled with fruitful trees but no green thing grew there in the latter days of saruman,tt,tt8
Dunland Crebain,B,"“What’s that, Strider? It don’t look like a cloud.”
—Sam",what’s that strider it don’t look like a cloud ,fs,fs19
Lash of the Balrog,B,"Even as the Balrog fell, it swung its whip, and the thongs lashed and curled about Gandalf’s knees, dragging him to the brink of the abyss. “Fly, you fools!” he cried, and was gone.",even as the balrog fell it swung its whip and the thongs lashed and curled about gandalf’s knees dragging him to the brink of the abyss fly you fools he cried and was gone,fs,fs21
Mordor Muster,B,"“Orcs, thousands of Orcses. Nice Hobbits mustn’t go to those places.”
—Gollum",orcs thousands of orcses nice hobbits mustn’t go to those places ,,tt12
